GCoM_ID,signatory name,country code,Covenant Region,Year of adhesion,population adhesion year, signatory adhesion type , latitude , longitude ,area, NUTS3 , LAU1 , LAU2 , FUA_ID , CITY_ID/GREATER_CITY_ID , CITY or Greater City ,population in 2018, degree of urbanisation ,Heating Degree-Days (HDD),reference year HDD,"GDP per capita at NUTS3 [Euro per inhabitant]"," GHG emissions per capita in GCoM sectors_EDGAR [tCO2-eq/year] ",reference years in EDGAR,  Mitigation reduction target 2020 [%] ,  Mitigation reduction target 2030 [%] , reduction_type_id 
IT4567,Prags - Braies,it,Europe EU27,2014,672.00,As a group of signatories committing collectively (joint SEAP - option 2), 43.87 , 10.33 ,90.25, ITH10 ,, IT021009 ,, NaN , Other ,652.00, 3.00 ,4752.83,2010,37233.33, 4.04 ,2014, NaN , NaN , NaN 
IT4548,Predaia,it,Europe EU27,2014,6674.00,As a group of signatories committing collectively (joint SEAP - option 2), 58.43 , 13.91 ,80.05, ITH20 ,, IT022230 ,, NaN , Other ,6674.00, 2.00 ,3121.33,2014,33155.56, 4.04 ,2014, NaN , NaN , NaN 
BE0425,Profondeville,be,Europe EU27,2016,12224.00,As a group of signatories committing collectively (joint SEAP - option 2), 50.38 , 4.83 ,50.34, BE352 ,, BE92101 ,, NaN , Other ,12224.00, 2.00 ,2534.75,2006,25584.21, 5.48 ,2016, NaN , NaN , NaN 
IT4731,PRUNETTO,it,Europe EU27,2017,483.00,As a group of signatories committing collectively (joint SEAP - option 2), 44.42 , 8.14 ,14.36, ITC16 ,, IT004178 ,, NaN , Other ,436.00, 3.00 ,2436.29,2007,29100.00, 4.14 ,2017, NaN , NaN , NaN 
LU0008,Putscheid,lu,Europe EU27,2016,1287.00,As a group of signatories committing collectively (joint SEAP - option 2), 49.95 , 6.13 ,23.31, LU000 ,, LU1002 ,, NaN , Other ,1265.00, 3.00 ,2852.83,2015,74850.00, 12.87 ,2016, NaN , NaN , NaN 
IT4332,Quarna Sopra,it,Europe EU27,2013,289.00,As a group of signatories committing collectively (joint SEAP - option 2), 45.89 , 8.36 ,9.39, ITC14 ,, IT103058 ,, NaN , Other ,254.00, 3.00 ,3482.81,2001,22522.22, 4.27 ,2013, NaN , NaN , NaN 
IT4333,Quarna Sotto,it,Europe EU27,2013,430.00,As a group of signatories committing collectively (joint SEAP - option 2), 45.88 , 8.33 ,16.37, ITC14 ,, IT103059 ,, NaN , Other ,392.00, 3.00 ,3482.81,2001,22522.22, 4.27 ,2013, NaN , NaN , NaN 
SK0031,Rakovice,sk,Europe EU27,2016,589.00,As a group of signatories committing collectively (joint SEAP - option 2), 48.57 , 17.62 ,6.96, SK021 ,, SK507482 ,, NaN , Other ,589.00, 3.00 ,2688.51,2015,11836.84, 3.01 ,2016, NaN , NaN , NaN 
IT4420,Rasura,it,Europe EU27,2013,297.00,As a group of signatories committing collectively (joint SEAP - option 2), 46.09 , 9.53 ,6.00, ITC44 ,, IT014055 ,, NaN , Other ,291.00, 3.00 ,4747.34,2005,26883.33, 4.27 ,2013, NaN , NaN , NaN 
IT4225,Ravarino,it,Europe EU27,2012,6318.00,As a group of signatories committing collectively (joint SEAP - option 2), 44.74 , 11.09 ,28.53, ITH54 ,, IT036034 ,, NaN , Other ,6132.00, 2.00 ,2266.50,1998,33622.22, 4.53 ,2012, NaN , NaN , NaN 
IT4527,REFRONTOLO,it,Europe EU27,2014,1863.00,As a group of signatories committing collectively (joint SEAP - option 2), 45.92 , 12.21 ,13.04, ITH34 ,, IT026065 ,, NaN , Other ,1732.00, 3.00 ,1794.13,2007,29861.11, 4.04 ,2014, NaN , NaN , NaN 
DE0081,Rethem,de,Europe EU27,2013,2371.00,As a group of signatories committing collectively (joint SEAP - option 2), 52.76 , 9.37 ,34.08, DE938 ,, DE03358018 ,, NaN , Other ,2326.00, 3.00 ,2933.16,2008,26638.89, 7.73 ,2013, NaN , NaN , NaN 
IT4549,Revò,it,Europe EU27,2014,1278.00,As a group of signatories committing collectively (joint SEAP - option 2), 46.41 , 11.05 ,13.36, ITH20 ,, IT022152 ,, NaN , Other ,1278.00, 3.00 ,3121.33,2014,33155.56, 4.04 ,2014, NaN , NaN , NaN 
IT4379,Riolo Terme,it,Europe EU27,2013,5817.00,As a group of signatories committing collectively (joint SEAP - option 2), 44.36 , 11.85 ,44.26, ITH57 ,, IT039015 ,, NaN , Other ,5681.00, 2.00 ,2164.39,2005,28905.56, 4.27 ,2013, NaN , NaN , NaN 
IT4389,Riolunato,it,Europe EU27,2013,763.00,As a group of signatories committing collectively (joint SEAP - option 2), 44.28 , 10.73 ,44.91, ITH54 ,, IT036035 ,, NaN , Other ,688.00, 3.00 ,2266.50,1998,33622.22, 4.27 ,2013, NaN , NaN , NaN 
IT4680,Ripi,it,Europe EU27,2016,5502.00,As a group of signatories committing collectively (joint SEAP - option 2), 41.69 , 13.47 ,31.61, ITI45 ,, IT060058 ,, NaN , Other ,5249.00, 2.00 ,1496.35,2015,21355.56, 4.17 ,2016, NaN , NaN , NaN 
IT4528,Rivamonte Agordino,it,Europe EU27,2014,679.00,As a group of signatories committing collectively (joint SEAP - option 2), 46.24 , 12.04 ,23.30, ITH33 ,, IT025043 ,, NaN , Other ,636.00, 3.00 ,3447.85,2007,28411.11, 4.04 ,2014, NaN , NaN , NaN 
IT4583,Rivergaro,it,Europe EU27,2015,7066.00,As a group of signatories committing collectively (joint SEAP - option 2), 45.06 , 9.49 ,43.83, ITH51 ,, IT033038 ,, NaN , Other ,7066.00, 2.00 ,2433.77,2010,29950.00, 4.25 ,2015, NaN , NaN , NaN 
IT4654,Robilante,it,Europe EU27,2016,2447.00,As a group of signatories committing collectively (joint SEAP - option 2), 44.28 , 7.52 ,25.00, ITC16 ,, IT004185 ,, NaN , Other ,2285.00, 3.00 ,2391.24,2012,29100.00, 4.17 ,2016, NaN , NaN , NaN 
IT3592,ROBURENT,it,Europe EU27,2016,553.00,As a group of signatories committing collectively (joint SEAP - option 2), 44.26 , 7.87 ,29.81, ITC16 ,, IT004186 ,, NaN , Other ,496.00, 3.00 ,2455.48,2008,29100.00, 4.17 ,2016, NaN , NaN , NaN 
IT4663,Rocca de Baldi,it,Europe EU27,2016,1699.00,As a group of signatories committing collectively (joint SEAP - option 2), 43.91 , 11.85 ,26.40, ITC16 ,, IT004189 ,, NaN , Other ,1639.00, 3.00 ,2455.48,2008,29100.00, 4.17 ,2016, NaN , NaN , NaN 
IT4462,Roccabascerana,it,Europe EU27,2014,2386.00,As a group of signatories committing collectively (joint SEAP - option 2), 41.08 , 14.70 ,12.46, ITF34 ,, IT064078 ,, NaN , Other ,2370.00, 3.00 ,1555.61,2011,16733.33, 4.04 ,2014, NaN , NaN , NaN 
